Date,Description,Category
2024-01-01,Neujahr,Holiday
2024-01-06,Saturday,Weekend
2024-01-07,Sunday,Weekend
2024-01-13,Saturday,Weekend
2024-01-14,Sunday,Weekend
2024-01-20,Saturday,Weekend
2024-01-21,Sunday,Weekend
2024-01-27,Saturday,Weekend
2024-01-28,Sunday,Weekend
2024-02-03,Saturday,Weekend
2024-02-04,Sunday,Weekend
2024-02-10,Saturday,Weekend
2024-02-11,Sunday,Weekend
2024-02-17,Saturday,Weekend
2024-02-18,Sunday,Weekend
2024-02-24,Saturday,Weekend
2024-02-25,Sunday,Weekend
2024-03-02,Saturday,Weekend
2024-03-03,Sunday,Weekend
2024-03-09,Saturday,Weekend
2024-03-10,Sunday,Weekend
2024-03-16,Saturday,Weekend
2024-03-17,Sunday,Weekend
2024-03-23,Saturday,Weekend
2024-03-24,Sunday,Weekend
2024-03-29,Karfreitag,Holiday
2024-03-30,Saturday,Weekend
2024-03-31,Sunday,Weekend
2024-04-01,Ostermontag,Holiday
2024-04-06,Saturday,Weekend
2024-04-07,Sunday,Weekend
2024-04-13,Saturday,Weekend
2024-04-14,Sunday,Weekend
2024-04-20,Saturday,Weekend
2024-04-21,Sunday,Weekend
2024-04-27,Saturday,Weekend
2024-04-28,Sunday,Weekend
2024-05-01,Tag der Arbeit,Holiday
2024-05-04,Saturday,Weekend
2024-05-05,Sunday,Weekend
2024-05-09,Christi Himmelfahrt,Holiday
2024-05-11,Saturday,Weekend
2024-05-12,Sunday,Weekend
2024-05-18,Saturday,Weekend
2024-05-19,Sunday,Weekend
2024-05-20,Pfingstmontag,Holiday
2024-05-25,Saturday,Weekend
2024-05-26,Sunday,Weekend
2024-06-01,Saturday,Weekend
2024-06-02,Sunday,Weekend
2024-06-08,Saturday,Weekend
2024-06-09,Sunday,Weekend
2024-06-15,Saturday,Weekend
2024-06-16,Sunday,Weekend
2024-06-22,Saturday,Weekend
2024-06-23,Sunday,Weekend
2024-06-29,Saturday,Weekend
2024-06-30,Sunday,Weekend
2024-07-06,Saturday,Weekend
2024-07-07,Sunday,Weekend
2024-07-13,Saturday,Weekend
2024-07-14,Sunday,Weekend
2024-07-20,Saturday,Weekend
2024-07-21,Sunday,Weekend
2024-07-27,Saturday,Weekend
2024-07-28,Sunday,Weekend
2024-08-03,Saturday,Weekend
2024-08-04,Sunday,Weekend
2024-08-10,Saturday,Weekend
2024-08-11,Sunday,Weekend
2024-08-17,Saturday,Weekend
2024-08-18,Sunday,Weekend
2024-08-24,Saturday,Weekend
2024-08-25,Sunday,Weekend
2024-08-31,Saturday,Weekend
2024-09-01,Sunday,Weekend
2024-09-07,Saturday,Weekend
2024-09-08,Sunday,Weekend
2024-09-14,Saturday,Weekend
2024-09-15,Sunday,Weekend
2024-09-21,Saturday,Weekend
2024-09-22,Sunday,Weekend
2024-09-28,Saturday,Weekend
2024-09-29,Sunday,Weekend
2024-10-03,Tag der Deutschen Einheit,Holiday
2024-10-05,Saturday,Weekend
2024-10-06,Sunday,Weekend
2024-10-12,Saturday,Weekend
2024-10-13,Sunday,Weekend
2024-10-19,Saturday,Weekend
2024-10-20,Sunday,Weekend
2024-10-26,Saturday,Weekend
2024-10-27,Sunday,Weekend
2024-11-02,Saturday,Weekend
2024-11-03,Sunday,Weekend
2024-11-09,Saturday,Weekend
2024-11-10,Sunday,Weekend
2024-11-16,Saturday,Weekend
2024-11-17,Sunday,Weekend
2024-11-23,Saturday,Weekend
2024-11-24,Sunday,Weekend
2024-11-30,Saturday,Weekend
2024-12-01,Sunday,Weekend
2024-12-07,Saturday,Weekend
2024-12-08,Sunday,Weekend
2024-12-14,Saturday,Weekend
2024-12-15,Sunday,Weekend
2024-12-21,Saturday,Weekend
2024-12-22,Sunday,Weekend
2024-12-24,Christmas Period,Christmas Holidays
2024-12-25,1. Weihnachtsfeiertag,Holiday
2024-12-26,2. Weihnachtsfeiertag,Holiday
2024-12-27,Christmas Period,Christmas Holidays
2024-12-28,Saturday,Weekend
2024-12-29,Sunday,Weekend
2024-12-30,Christmas Period,Christmas Holidays
2024-12-31,Christmas Period,Christmas Holidays